Time,Current,Voltage,Power,Module_Temp,weather_POA,weather_GHI,weather_DNI,weather_DHI,weather_Air_Temp,weather_RH,weather_Pressure,weather_Wind_speed,weather_Rain
2024-09-01 15:30,6.954,218.156,1.516881,50.521,841.057,770.686,788.23,149.729,32.17,38.405,959.117,3.559,0
2024-09-01 15:40,6.645,219.339,1.457223,50.187,813.024,744.999,773.613,151.284,32.245,38.43,959.061,3.415,0
2024-09-01 15:50,6.371,219.514,1.399959,49.568,786.552,720.742,767.747,147.746,32.038,38.961,959.012,3.647,0
2024-09-01 16:00,6.093,220.404,1.343093,48.242,758.778,695.291,761.827,143.95,31.896,39.495,958.962,3.918,0
2024-09-01 16:10,5.793,220.479,1.277327,48.31,729.69,668.637,756.266,139.539,32.2,38.739,958.958,3.274,0
2024-09-01 16:20,5.441,222.197,1.209093,46.513,696.667,638.377,744.27,136.558,32.022,38.963,958.943,3.848,0
2024-09-01 16:30,5.115,222.81,1.13998,45.724,665.327,609.66,737.02,131.922,31.993,38.775,958.862,3.96,0
2024-09-01 16:40,4.804,222.426,1.06851,44.79,632.427,579.512,729.612,126.723,31.818,38.807,958.738,3.954,0
2024-09-01 16:50,4.419,224.111,0.990059,43.743,597.263,547.291,712.876,124.891,31.711,38.967,958.763,4.314,0
2024-09-01 17:00,4.047,224.892,0.910063,42.998,560.43,513.539,692.16,123.659,31.561,39.33,958.642,3.83,0
2024-09-01 17:10,3.686,224.729,0.828294,43.258,522.001,478.325,668.854,121.599,31.568,39.547,958.616,3.139,0
2024-09-01 17:20,3.315,224.379,0.743562,41.151,482.088,441.752,642.654,119.256,31.659,39.359,958.631,4.19,0
2024-09-01 17:30,2.929,223.838,0.655384,40.012,440.987,404.09,611.013,116.782,31.555,39.639,958.616,3.562,0
2024-09-01 17:40,2.562,226.897,0.581253,38.105,403.612,369.842,584.796,113.955,31.594,39.74,958.621,3.965,0
2024-09-01 17:50,2.197,226.142,0.49748,37.718,362.683,332.338,551.689,108.951,31.655,39.773,958.554,3.255,0
2024-09-01 18:00,1.87,226.136,0.423103,36.327,324.453,297.306,519.985,104.582,31.594,39.679,958.52,3.549,0
2024-09-01 18:10,1.533,226,0.346141,35.32,284.825,260.994,482.03,98.454,31.356,40.025,958.582,3.5,0
2024-09-01 18:20,1.169,219.758,0.257063,34.576,245.737,225.176,441.181,91.397,31.206,40.63,958.617,3.612,0
2024-09-01 18:30,0.817,228.118,0.186551,33.158,208.303,190.875,398.661,83.844,30.917,40.914,958.558,4.485,0
2024-09-01 18:40,0.59,224.89,0.132264,31.337,171.026,156.716,347.918,75.204,30.43,41.858,958.623,3.925,0
2024-09-01 18:50,0.508,220.756,0.112183,30.215,133.253,122.104,284.398,65.223,30.009,43.591,958.683,4.224,0
2024-09-01 19:00,0.366,216.302,0.079465,29.255,97.881,89.691,218.653,54.04,29.752,44.537,958.796,4.044,0
2024-09-01 19:10,0.282,210.975,0.059381,28.329,67.548,61.896,156.008,42.341,29.125,46.722,958.812,4.733,0
2024-09-01 19:20,0.207,206.999,0.042742,27.609,41.734,38.242,94.479,29.704,28.6,48.345,958.936,4.615,0
2024-09-01 19:30,0.135,202.24,0.027128,26.949,21.265,19.485,35.854,16.988,28.049,50.117,959.118,4.752,0
2024-09-01 19:40,0.068,194.792,0.013014,26.237,6.368,5.835,0.124,5.323,27.563,51.908,959.228,4.273,0
2024-09-01 19:50,0.014,78.383,0.001597,25.751,0.088,0.081,0,0.005,27.101,53.024,959.336,4.681,0
2024-09-01 20:00,0,30.822,0,25.187,0,0,0,0,26.665,54.797,959.498,4.344,0
2024-09-01 20:10,0,28.149,0,24.698,0,0,0,0,26.154,56.593,959.637,4.588,0
2024-09-01 20:20,0,17.357,0,24.323,0,0,0,0,25.712,58.218,959.679,5.027,0
2024-09-01 20:30,0,3.332,0,24.036,0,0,0,0,25.314,59.995,959.654,5.265,0
2024-09-01 20:40,0,0.403,0,23.648,0,0,0,0,24.845,62.053,959.692,5.613,0
2024-09-01 20:50,0,0.243,0,23.315,0,0,0,0,24.532,63.27,959.786,5.209,0
